Treatment,Rep,Sex,MatTime,MatMass,GrowthRate,Notes
Gauze,1,F,39,423,10.846,
Gauze,2,F,39,369,9.462,
Gauze,1,F,40,395,9.875,
Gauze,1,F,40,374,9.35,
Gauze,1,F,40,441,11.025,
Gauze,1,F,40,358,8.95,
Gauze,1,F,40,361,9.025,
Gauze,1,F,40,346,8.65,
Gauze,1,F,40,523,13.075,
Gauze,1,F,40,479,11.975,
Gauze,1,F,40,369,9.225,
Gauze,1,F,40,360,9,
Gauze,1,F,40,443,11.075,
Gauze,1,F,40,390,9.75,
Gauze,1,F,40,446,11.15,
Gauze,1,F,40,392,9.8,
Gauze,1,F,40,393,9.825,
Gauze,1,F,40,409,10.225,
Gauze,1,F,40,440,11,
Gauze,1,F,40,322,8.05,
Gauze,1,F,40,410,10.25,
Gauze,2,F,40,296,7.4,
Gauze,2,F,40,365,9.125,
Gauze,2,F,40,359,8.975,
Gauze,2,F,40,338,8.45,
Gauze,2,F,40,342,8.55,
Gauze,2,F,40,428,10.7,
Gauze,1,M,41,307,7.488,
Gauze,1,M,41,357,8.707,
Gauze,1,M,41,343,8.366,
Gauze,1,M,41,333,8.122,
Gauze,1,M,41,337,8.22,Missing right hind leg
Gauze,1,M,41,351,8.561,
Gauze,1,M,41,383,9.341,
Gauze,1,M,41,322,7.854,
Gauze,1,M,41,361,8.805,
Gauze,1,M,41,317,7.732,Missing last 25% of right hind leg
Gauze,1,M,41,379,9.244,
Gauze,1,M,41,365,8.902,
Gauze,1,M,41,431,10.512,
Gauze,1,M,41,340,8.293,
Gauze,1,M,41,310,7.561,
Gauze,1,M,41,374,9.122,
Gauze,1,M,41,385,9.39,
Gauze,1,F,41,389,9.488,
Gauze,1,F,41,463,11.293,
Gauze,1,F,41,403,9.829,
Gauze,1,F,41,410,10,
Gauze,1,F,41,376,9.171,
Gauze,1,F,41,296,7.22,
Gauze,1,F,41,374,9.122,
Gauze,1,F,41,483,11.78,
Gauze,1,F,41,399,9.732,
Gauze,1,F,41,309,7.537,
Gauze,1,F,41,282,6.878,
Gauze,1,F,41,381,9.293,
Gauze,1,F,41,379,9.244,
Gauze,1,F,41,322,7.854,
Gauze,1,F,41,322,7.854,
Gauze,2,M,41,287,7,
Gauze,2,M,41,318,7.756,
Gauze,2,M,41,375,9.146,
Gauze,2,F,41,310,7.561,
Gauze,2,F,41,311,7.585,
Gauze,2,F,41,295,7.195,
Gauze,2,F,41,349,8.512,
Gauze,2,F,41,318,7.756,
Gauze,2,F,41,265,6.463,
Gauze,2,F,41,360,8.78,
Gauze,2,F,41,422,10.293,
Gauze,2,F,41,347,8.463,
Gauze,2,F,41,391,9.537,
Gauze,1,M,42,334,7.952,
Gauze,1,M,42,367,8.738,
Gauze,1,M,42,337,8.024,
Gauze,1,M,42,404,9.619,
Gauze,1,M,42,307,7.31,
Gauze,1,M,42,404,9.619,
Gauze,1,M,42,300,7.143,
Gauze,1,M,42,280,6.667,
Gauze,1,F,42,357,8.5,Poor wing development
Gauze,2,M,42,348,8.286,
Gauze,2,M,42,348,8.286,Poor wing development
Gauze,2,M,42,336,8,
Gauze,2,M,42,294,7,
Gauze,2,M,42,344,8.19,
Gauze,2,M,42,361,8.595,
Gauze,2,M,42,299,7.119,
Gauze,2,M,42,329,7.833,
Gauze,2,F,42,360,8.571,
