Treatment,Rep,Sex,MatTime,MatMass,GrowthRate,Notes
Gauze,1,F,39,423,10.846,
Gauze,2,F,39,369,9.462,
Gauze,1,F,40,395,9.875,
Gauze,1,F,40,374,9.35,
Gauze,1,F,40,441,11.025,
Gauze,1,F,40,358,8.95,
Gauze,1,F,40,361,9.025,
Gauze,1,F,40,346,8.65,
Gauze,1,F,40,523,13.075,
Gauze,1,F,40,479,11.975,
Gauze,1,F,40,369,9.225,
Gauze,1,F,40,360,9,
Gauze,1,F,40,443,11.075,
Gauze,1,F,40,390,9.75,
Gauze,1,F,40,446,11.15,
Gauze,1,F,40,392,9.8,
Gauze,1,F,40,393,9.825,
Gauze,1,F,40,409,10.225,
Gauze,1,F,40,440,11,
Gauze,1,F,40,322,8.05,
Gauze,1,F,40,410,10.25,
Gauze,2,F,40,296,7.4,
Gauze,2,F,40,365,9.125,
Gauze,2,F,40,359,8.975,
Gauze,2,F,40,338,8.45,
Gauze,2,F,40,342,8.55,
Gauze,2,F,40,428,10.7,
Gauze,1,F,41,389,9.488,
Gauze,1,F,41,463,11.293,
Gauze,1,F,41,403,9.829,
Gauze,1,F,41,410,10,
Gauze,1,F,41,376,9.171,
Gauze,1,F,41,296,7.22,
Gauze,1,F,41,374,9.122,
Gauze,1,F,41,483,11.78,
Gauze,1,F,41,399,9.732,
Gauze,1,F,41,309,7.537,
Gauze,1,F,41,282,6.878,
Gauze,1,F,41,381,9.293,
Gauze,1,F,41,379,9.244,
Gauze,1,F,41,322,7.854,
Gauze,1,F,41,322,7.854,
Gauze,2,F,41,310,7.561,
Gauze,2,F,41,311,7.585,
Gauze,2,F,41,295,7.195,
Gauze,2,F,41,349,8.512,
Gauze,2,F,41,318,7.756,
Gauze,2,F,41,265,6.463,
Gauze,2,F,41,360,8.78,
Gauze,2,F,41,422,10.293,
Gauze,2,F,41,347,8.463,
Gauze,2,F,41,391,9.537,
Gauze,1,F,42,357,8.5,Poor wing development
Gauze,2,F,42,360,8.571,
Gauze,2,F,42,475,11.31,Poor wing development
Gauze,2,F,42,406,9.667,
Gauze,2,F,42,356,8.476,
Gauze,2,F,42,402,9.571,
Gauze,2,F,42,355,8.452,Poor wing development
Gauze,2,F,42,279,6.643,
Gauze,2,F,42,286,6.81,
Gauze,2,F,42,279,6.643,"Poor wing development, missing 25% left hind leg"
Gauze,1,F,43,392,9.116,
Gauze,1,F,43,343,7.977,
Gauze,1,F,43,381,8.86,"Poor wing dev, missing outer right wing (hard part)"
Gauze,2,F,43,327,7.605,
Gauze,1,F,44,394,8.955,
Gauze,2,F,44,375,8.523,
Gauze,2,F,44,417,9.477,
Gauze,1,F,45,470,10.444,
Gauze,1,F,45,345,7.667,Missing left hind leg
Gauze,1,F,45,434,9.644,
Gauze,1,F,45,408,9.067,
Gauze,2,F,45,478,10.622,
Gauze,2,F,45,459,10.2,
Gauze,2,F,45,475,10.556,
Gauze,2,F,45,440,9.778,
Gauze,2,F,45,473,10.511,
Gauze,2,F,45,459,10.2,
Gauze,1,F,46,410,8.913,
Gauze,2,F,46,408,8.87,
Gauze,2,F,46,471,10.239,
Gauze,2,F,46,451,9.804,
Gauze,2,F,46,642,13.957,
Gauze,2,F,46,411,8.935,
Gauze,2,F,46,439,9.543,
Gauze,2,F,46,414,9,
Gauze,2,F,46,492,10.696,
