Treatment,Rep,Sex,MatTime,MatMass,GrowthRate,Notes
Gauze,1,M,41,307,7.488,
Gauze,1,M,41,357,8.707,
Gauze,1,M,41,343,8.366,
Gauze,1,M,41,333,8.122,
Gauze,1,M,41,337,8.22,Missing right hind leg
Gauze,1,M,41,351,8.561,
Gauze,1,M,41,383,9.341,
Gauze,1,M,41,322,7.854,
Gauze,1,M,41,361,8.805,
Gauze,1,M,41,317,7.732,Missing last 25% of right hind leg
Gauze,1,M,41,379,9.244,
Gauze,1,M,41,365,8.902,
Gauze,1,M,41,431,10.512,
Gauze,1,M,41,340,8.293,
Gauze,1,M,41,310,7.561,
Gauze,1,M,41,374,9.122,
Gauze,1,M,41,385,9.39,
Gauze,2,M,41,287,7,
Gauze,2,M,41,318,7.756,
Gauze,2,M,41,375,9.146,
Gauze,1,M,42,334,7.952,
Gauze,1,M,42,367,8.738,
Gauze,1,M,42,337,8.024,
Gauze,1,M,42,404,9.619,
Gauze,1,M,42,307,7.31,
Gauze,1,M,42,404,9.619,
Gauze,1,M,42,300,7.143,
Gauze,1,M,42,280,6.667,
Gauze,2,M,42,348,8.286,
Gauze,2,M,42,348,8.286,Poor wing development
Gauze,2,M,42,336,8,
Gauze,2,M,42,294,7,
Gauze,2,M,42,344,8.19,
Gauze,2,M,42,361,8.595,
Gauze,2,M,42,299,7.119,
Gauze,2,M,42,329,7.833,
Gauze,1,M,43,314,7.302,
Gauze,1,M,43,373,8.674,
Gauze,1,M,43,390,9.07,
Gauze,1,M,43,317,7.372,
Gauze,1,M,43,343,7.977,
Gauze,1,M,43,301,7,Poor wing dev
Gauze,1,M,43,292,6.791,
Gauze,1,M,43,273,6.349,
Gauze,1,M,43,353,8.209,
Gauze,2,M,43,285,6.628,
Gauze,2,M,43,326,7.581,
Gauze,2,M,43,289,6.721,
Gauze,2,M,43,271,6.302,
Gauze,2,M,43,311,7.233,
Gauze,2,M,43,346,8.047,
Gauze,2,M,43,329,7.651,
Gauze,2,M,43,312,7.256,
Gauze,2,M,43,311,7.233,
Gauze,2,M,43,323,7.512,
Gauze,2,M,43,301,7,
